"rol","unidad","años_institucion","comp_digital","uso_plataformas","uso_herramientas_av","actitud_cambio","capacitacion_ti","frecuencia_uso","plan_td","liderazgo_td","presupuesto_ti","dig_matricula","dig_notas","dig_titulacion","dig_pagos","firma_electronica","exp_facilidad","exp_confiabilidad","exp_servicios_enlinea","exp_satisfaccion","problemas_acceso","madurez_actual","madurez_futura","prob_avance_5a"
"Docente","Facultad de Ingeniería Mecánica",6,1,2,2,2,2,1,2,5,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"Docente","Facultad de Ingeniería Química y Agroindustria",11,3,2,2,4,0,3,5,3,2,1,3,4,2,1,NA,NA,NA,NA,NA,2,NA,3
"Docente","Facultad de Ingeniería Mecánica",6,NA,5,3,5,2,4,5,5,2,3,2,2,4,1,NA,NA,NA,NA,NA,1,3,4
"Docente","Facultad de Ingeniería de Sistemas",13,5,3,4,3,0,1,2,4,1,3,1,1,1,1,NA,NA,NA,NA,NA,5,1,1
"Docente","Facultad de Ingeniería Civil y Ambiental",13,1,4,NA,2,0,3,1,3,1,4,2,4,4,1,NA,NA,NA,NA,NA,4,5,1
"Docente","Facultad de Ciencias",8,3,3,1,4,1,2,3,3,3,3,2,1,4,1,NA,NA,NA,NA,NA,2,1,1
"Docente","Facultad de Ciencias Administrativas",1,3,5,3,4,3,3,5,2,4,3,3,4,4,1,NA,NA,NA,NA,NA,NA,2,3
"Docente","Facultad de Ingeniería Química y Agroindustria",0,5,4,1,2,2,2,4,3,1,2,3,2,2,1,NA,NA,NA,NA,NA,4,4,4
"Docente","Facultad de Ingeniería Eléctrica y Electrónica",4,3,3,3,3,0,NA,1,3,2,4,5,2,4,1,NA,NA,NA,NA,NA,2,1,1
"Docente","Facultad de Ciencias",13,3,5,3,NA,0,3,2,3,3,NA,1,3,2,1,NA,NA,NA,NA,NA,3,4,1
"Docente","Facultad de Ciencias Administrativas",4,1,4,2,2,0,3,3,1,2,4,5,2,3,0,NA,NA,NA,NA,NA,2,NA,2
"Docente","Facultad de Ingeniería Eléctrica y Electrónica",3,3,1,5,2,NA,NA,5,2,2,3,1,4,3,0,NA,NA,NA,NA,NA,3,3,3
"Docente","Facultad de Geología y Petróleos",4,1,3,1,2,NA,1,4,2,4,1,2,5,5,NA,NA,NA,NA,NA,NA,NA,4,4
"Docente","Facultad de Ingeniería de Sistemas",10,3,3,1,3,0,1,5,4,3,2,5,5,4,1,NA,NA,NA,NA,NA,2,5,4
"Docente","Facultad de Ingeniería Civil y Ambiental",3,NA,NA,4,5,0,1,2,5,4,NA,1,4,5,0,NA,NA,NA,NA,NA,5,1,3
"Docente","Facultad de Geología y Petróleos",13,3,5,NA,NA,2,4,3,5,2,2,5,1,3,0,NA,NA,NA,NA,NA,4,4,3
"Docente","Facultad de Ingeniería Mecánica",10,5,4,5,4,3,4,5,4,2,1,4,3,5,1,NA,NA,NA,NA,NA,1,2,3
"Docente","Facultad de Ciencias Administrativas",7,4,3,2,NA,3,3,1,2,2,NA,2,3,4,0,NA,NA,NA,NA,NA,2,3,2
"Docente","Facultad de Ciencias Administrativas",13,3,3,3,3,1,3,4,4,2,1,1,NA,3,1,NA,NA,NA,NA,NA,2,2,4
"Docente","Facultad de Ingeniería Mecánica",10,2,1,1,5,2,2,5,4,3,NA,1,5,3,0,NA,NA,NA,NA,NA,3,3,1
"Docente","Facultad de Ciencias",5,2,3,3,5,3,NA,5,2,2,3,4,4,4,NA,NA,NA,NA,NA,NA,5,NA,1
"Docente","Facultad de Geología y Petróleos",9,1,4,5,3,NA,3,4,3,1,NA,2,4,2,1,NA,NA,NA,NA,NA,2,2,1
"Docente","Facultad de Ingeniería Química y Agroindustria",12,2,2,4,1,1,4,1,4,2,3,3,5,4,1,NA,NA,NA,NA,NA,NA,NA,3
"Docente","Facultad de Ingeniería Química y Agroindustria",10,1,1,4,4,1,3,2,3,1,1,NA,1,1,0,NA,NA,NA,NA,NA,5,2,3
"Docente","Facultad de Ingeniería Mecánica",4,NA,4,4,4,3,3,3,4,3,5,3,3,3,0,NA,NA,NA,NA,NA,5,5,4
"Docente","Facultad de Ciencias",13,5,3,4,2,2,2,3,5,3,2,1,5,2,1,NA,NA,NA,NA,NA,4,1,3
"Docente","Facultad de Geología y Petróleos",15,5,4,4,4,3,3,5,2,1,2,3,2,5,NA,NA,NA,NA,NA,NA,5,1,4
"Docente","Facultad de Geología y Petróleos",10,2,4,NA,3,0,4,2,3,4,1,1,4,NA,0,NA,NA,NA,NA,NA,3,NA,2
"Docente","Facultad de Ingeniería Química y Agroindustria",9,1,2,2,3,2,4,3,3,3,3,5,4,2,0,NA,NA,NA,NA,NA,5,4,1
"Docente","Facultad de Ingeniería Civil y Ambiental",8,4,4,4,3,NA,3,3,5,3,NA,5,3,1,0,NA,NA,NA,NA,NA,4,5,1
"Docente","Facultad de Geología y Petróleos",21,2,2,3,3,3,1,3,2,4,5,3,NA,5,0,NA,NA,NA,NA,NA,2,4,3
"Docente","Facultad de Ingeniería Mecánica",10,2,1,NA,4,1,1,5,1,4,NA,3,4,5,1,NA,NA,NA,NA,NA,3,3,2
"Docente","Facultad de Geología y Petróleos",7,2,3,5,4,2,4,1,4,2,2,1,4,4,1,NA,NA,NA,NA,NA,1,3,4
"Docente","Facultad de Ingeniería Civil y Ambiental",7,5,2,3,3,2,4,2,5,1,3,5,2,5,1,NA,NA,NA,NA,NA,1,4,4
"Docente","Facultad de Ingeniería de Sistemas",1,NA,5,5,5,0,2,2,3,2,1,3,NA,3,1,NA,NA,NA,NA,NA,5,2,4
"Docente","Facultad de Ingeniería Mecánica",8,NA,1,4,1,1,1,3,5,3,1,2,2,5,0,NA,NA,NA,NA,NA,3,5,2
"Docente","Facultad de Ingeniería Mecánica",9,NA,4,2,5,NA,2,4,3,2,NA,2,3,5,1,NA,NA,NA,NA,NA,1,3,3
"Docente","Facultad de Ingeniería Mecánica",10,3,2,5,4,2,3,3,2,3,NA,1,2,3,1,NA,NA,NA,NA,NA,4,1,2
"Docente","Facultad de Ingeniería Química y Agroindustria",13,3,4,1,3,1,4,3,5,4,3,NA,5,1,NA,NA,NA,NA,NA,NA,3,3,2
"Docente","Facultad de Ciencias",7,5,2,NA,1,1,2,4,2,3,2,1,4,3,0,NA,NA,NA,NA,NA,4,1,2
"Docente","Facultad de Ingeniería Eléctrica y Electrónica",15,4,NA,1,2,0,4,2,4,3,5,5,1,4,NA,NA,NA,NA,NA,NA,3,4,2
"Docente","Facultad de Ingeniería Civil y Ambiental",2,3,4,1,3,2,4,3,2,2,5,2,2,1,1,NA,NA,NA,NA,NA,5,3,1
"Docente","Facultad de Ingeniería Mecánica",1,3,3,3,5,2,3,3,3,3,4,NA,4,3,0,NA,NA,NA,NA,NA,2,5,1
"Docente","Facultad de Ingeniería Civil y Ambiental",1,4,3,5,2,1,1,3,5,4,2,5,3,3,0,NA,NA,NA,NA,NA,1,1,4
"Docente","Facultad de Ciencias",12,3,3,5,3,3,3,5,1,1,3,3,NA,2,0,NA,NA,NA,NA,NA,3,3,2
"Docente","Facultad de Ciencias Administrativas",8,NA,2,2,5,1,3,3,4,1,3,1,2,1,0,NA,NA,NA,NA,NA,4,5,2
"Docente","Facultad de Geología y Petróleos",13,1,2,5,4,0,4,3,5,4,5,3,4,1,1,NA,NA,NA,NA,NA,3,3,1
"Docente","Facultad de Ingeniería Química y Agroindustria",6,2,1,3,5,2,NA,4,5,4,2,1,1,4,0,NA,NA,NA,NA,NA,2,5,3
"Docente","Facultad de Ingeniería de Sistemas",4,1,2,4,3,NA,1,2,3,3,3,3,4,3,1,NA,NA,NA,NA,NA,3,4,1
"Docente","Facultad de Ingeniería de Sistemas",6,5,1,2,3,3,3,1,3,3,3,4,1,3,1,NA,NA,NA,NA,NA,5,3,1
"Docente","Facultad de Ingeniería Eléctrica y Electrónica",3,3,2,4,1,2,2,2,4,4,2,NA,NA,2,0,NA,NA,NA,NA,NA,4,2,4
"Docente","Facultad de Ingeniería Civil y Ambiental",1,4,1,2,4,2,1,4,3,2,2,3,2,5,1,NA,NA,NA,NA,NA,4,4,1
"Docente","Facultad de Ingeniería de Sistemas",1,NA,2,NA,4,1,2,4,5,2,5,4,5,4,0,NA,NA,NA,NA,NA,5,1,2
"Docente","Facultad de Ingeniería Química y Agroindustria",14,5,2,2,3,2,2,3,2,2,2,5,5,2,0,NA,NA,NA,NA,NA,4,4,1
"Docente","Facultad de Ingeniería Química y Agroindustria",4,2,3,5,2,0,2,2,3,3,5,3,2,2,0,NA,NA,NA,NA,NA,4,4,2
"Docente","Facultad de Ciencias",13,4,4,2,NA,0,1,3,5,2,4,5,5,NA,NA,NA,NA,NA,NA,NA,4,2,3
"Docente","Facultad de Geología y Petróleos",17,4,3,4,5,3,NA,3,1,4,4,3,1,NA,1,NA,NA,NA,NA,NA,3,NA,1
"Docente","Facultad de Ingeniería Mecánica",7,3,4,2,3,1,NA,3,3,4,3,3,2,3,0,NA,NA,NA,NA,NA,3,1,1
"Docente","Facultad de Geología y Petróleos",10,1,3,5,2,2,1,4,5,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,4,4,1
"Docente","Facultad de Ingeniería Eléctrica y Electrónica",3,3,NA,2,4,2,2,1,3,2,NA,3,1,5,0,NA,NA,NA,NA,NA,2,5,2
"Docente","Facultad de Ingeniería Mecánica",3,4,2,2,5,1,1,5,4,2,1,4,4,2,1,NA,NA,NA,NA,NA,5,3,4
"Docente","Facultad de Ingeniería de Sistemas",8,2,4,2,2,2,2,2,3,1,2,5,3,5,NA,NA,NA,NA,NA,NA,5,4,4
"Docente","Facultad de Ingeniería de Sistemas",10,3,NA,NA,4,0,1,1,3,4,3,1,3,2,1,NA,NA,NA,NA,NA,NA,5,4
"Docente","Facultad de Ingeniería Química y Agroindustria",3,1,3,4,5,NA,NA,1,4,3,3,2,2,4,0,NA,NA,NA,NA,NA,2,5,1
"Docente","Facultad de Ingeniería de Sistemas",24,2,NA,5,3,1,2,3,4,3,4,5,5,NA,0,NA,NA,NA,NA,NA,4,3,2
"Docente","Facultad de Geología y Petróleos",5,3,3,NA,1,3,4,1,2,4,1,3,2,5,0,NA,NA,NA,NA,NA,1,NA,4
"Docente","Facultad de Ciencias Administrativas",8,5,3,NA,3,1,1,1,3,3,NA,4,5,NA,0,NA,NA,NA,NA,NA,5,4,2
"Docente","Facultad de Ingeniería de Sistemas",12,4,5,1,4,2,NA,1,4,2,2,4,3,3,1,NA,NA,NA,NA,NA,1,4,2
"Docente","Facultad de Ciencias",8,3,2,2,4,3,3,3,3,4,3,3,4,3,0,NA,NA,NA,NA,NA,5,5,1
"Docente","Facultad de Geología y Petróleos",4,2,3,5,1,3,1,3,4,1,3,5,3,2,1,NA,NA,NA,NA,NA,5,3,2
"Administrativo/Tecnico","Facultad de Geología y Petróleos",14,1,5,1,2,2,3,2,5,4,3,2,3,3,1,NA,NA,NA,NA,NA,NA,4,3
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",18,3,2,3,NA,3,2,3,3,4,1,4,3,3,0,NA,NA,NA,NA,NA,5,NA,1
"Administrativo/Tecnico","Facultad de Ciencias",8,3,3,2,2,1,4,3,4,2,3,3,3,4,0,NA,NA,NA,NA,NA,NA,5,3
"Administrativo/Tecnico","Facultad de Geología y Petróleos",11,5,3,4,NA,2,3,4,5,1,3,2,3,3,0,NA,NA,NA,NA,NA,5,5,4
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",7,NA,1,4,5,1,2,1,5,4,3,NA,4,3,1,NA,NA,NA,NA,NA,3,5,4
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",14,2,4,1,NA,1,2,3,2,3,4,3,2,3,0,NA,NA,NA,NA,NA,NA,3,3
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",1,2,4,NA,3,2,1,4,2,1,4,5,3,5,0,NA,NA,NA,NA,NA,2,2,2
"Administrativo/Tecnico","Facultad de Ciencias",22,1,4,1,3,NA,2,5,5,3,1,4,5,2,NA,NA,NA,NA,NA,NA,5,3,2
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",4,1,2,3,5,NA,4,2,2,1,2,4,3,1,NA,NA,NA,NA,NA,NA,4,4,2
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",1,NA,4,4,4,0,1,4,3,2,5,2,2,3,1,NA,NA,NA,NA,NA,3,3,4
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",6,4,1,3,3,NA,4,4,1,1,3,1,1,4,0,NA,NA,NA,NA,NA,2,3,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",9,3,3,3,5,3,2,4,1,4,4,4,5,3,0,NA,NA,NA,NA,NA,2,4,4
"Administrativo/Tecnico","Facultad de Ingeniería Mecánica",18,4,3,1,2,NA,2,1,3,4,3,5,5,2,0,NA,NA,NA,NA,NA,3,3,3
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",13,3,NA,2,3,2,3,2,2,3,4,5,4,3,1,NA,NA,NA,NA,NA,4,1,4
"Administrativo/Tecnico","Facultad de Geología y Petróleos",9,5,2,2,3,0,1,3,3,2,3,3,1,2,0,NA,NA,NA,NA,NA,3,4,3
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",0,3,1,NA,3,0,2,5,4,2,2,5,5,1,1,NA,NA,NA,NA,NA,NA,2,3
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",3,3,NA,3,3,0,3,4,3,1,1,3,5,3,0,NA,NA,NA,NA,NA,NA,3,4
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",7,5,NA,3,5,0,1,5,4,2,5,3,1,4,1,NA,NA,NA,NA,NA,4,5,3
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",23,2,NA,3,4,1,2,4,2,1,4,5,2,1,1,NA,NA,NA,NA,NA,3,5,3
"Administrativo/Tecnico","Facultad de Ingeniería Civil y Ambiental",3,4,4,3,3,0,1,1,4,1,4,5,5,4,0,NA,NA,NA,NA,NA,4,NA,4
"Administrativo/Tecnico","Facultad de Ciencias",15,1,2,2,4,0,2,4,4,3,1,3,3,2,0,NA,NA,NA,NA,NA,3,3,4
"Administrativo/Tecnico","Facultad de Ciencias",5,NA,NA,NA,2,2,3,2,3,4,3,2,3,1,1,NA,NA,NA,NA,NA,2,2,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",18,5,NA,3,1,2,2,1,5,2,2,5,5,2,1,NA,NA,NA,NA,NA,NA,5,3
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",1,4,4,NA,2,1,3,3,3,4,3,NA,3,3,1,NA,NA,NA,NA,NA,3,3,1
"Administrativo/Tecnico","Facultad de Ingeniería Civil y Ambiental",9,3,1,3,4,NA,2,4,2,2,1,3,3,1,0,NA,NA,NA,NA,NA,2,3,3
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",1,5,4,5,5,2,1,4,3,1,5,3,1,4,1,NA,NA,NA,NA,NA,4,1,1
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",13,5,4,3,NA,2,NA,2,1,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,4,1,4
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",17,NA,4,NA,NA,0,2,5,3,3,3,1,4,5,1,NA,NA,NA,NA,NA,3,3,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",20,3,NA,3,3,0,2,4,3,1,3,4,1,2,0,NA,NA,NA,NA,NA,NA,4,4
"Administrativo/Tecnico","Facultad de Ingeniería Civil y Ambiental",13,5,5,5,NA,2,4,2,5,4,5,2,2,2,0,NA,NA,NA,NA,NA,5,1,3
"Administrativo/Tecnico","Facultad de Ingeniería Civil y Ambiental",19,NA,5,3,3,0,1,3,3,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,5,3,4
"Administrativo/Tecnico","Facultad de Ciencias",15,2,2,3,NA,NA,4,2,3,2,5,2,1,3,0,NA,NA,NA,NA,NA,NA,4,1
"Administrativo/Tecnico","Facultad de Ingeniería Mecánica",7,1,2,NA,5,2,1,1,3,1,1,NA,3,3,0,NA,NA,NA,NA,NA,2,3,4
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",11,3,1,4,2,3,3,4,2,1,3,4,1,3,0,NA,NA,NA,NA,NA,2,5,2
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",2,3,2,4,5,2,4,1,3,2,3,4,5,3,1,NA,NA,NA,NA,NA,3,NA,1
"Administrativo/Tecnico","Facultad de Ciencias",7,5,2,1,4,3,3,2,5,3,1,3,2,3,1,NA,NA,NA,NA,NA,2,4,2
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",15,3,4,4,4,0,3,3,3,2,5,3,2,5,1,NA,NA,NA,NA,NA,4,NA,4
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",11,5,3,2,3,NA,2,3,4,1,2,4,4,4,NA,NA,NA,NA,NA,NA,3,3,3
"Administrativo/Tecnico","Facultad de Geología y Petróleos",11,1,2,1,1,3,1,3,4,4,2,3,5,4,0,NA,NA,NA,NA,NA,4,2,2
"Administrativo/Tecnico","Facultad de Ingeniería Mecánica",2,3,2,5,2,0,4,2,3,1,NA,4,5,5,0,NA,NA,NA,NA,NA,2,3,4
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",4,3,4,1,1,NA,2,1,5,2,5,4,NA,3,0,NA,NA,NA,NA,NA,4,NA,3
"Administrativo/Tecnico","Facultad de Geología y Petróleos",3,5,4,4,4,0,2,4,5,3,4,2,1,4,1,NA,NA,NA,NA,NA,4,NA,4
"Administrativo/Tecnico","Facultad de Ciencias",10,1,4,3,3,3,3,4,1,1,2,4,2,3,0,NA,NA,NA,NA,NA,5,4,2
"Administrativo/Tecnico","Facultad de Ciencias",2,3,1,4,4,3,1,5,4,4,3,5,1,2,1,NA,NA,NA,NA,NA,2,5,1
"Administrativo/Tecnico","Facultad de Ciencias",11,NA,4,4,3,2,3,3,4,4,5,4,3,2,1,NA,NA,NA,NA,NA,3,5,4
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",1,2,4,2,4,3,2,5,5,2,5,2,5,3,0,NA,NA,NA,NA,NA,3,5,3
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",19,4,2,3,3,1,2,3,4,2,5,3,1,2,0,NA,NA,NA,NA,NA,NA,1,2
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",11,2,3,3,NA,NA,1,2,5,4,3,5,4,2,0,NA,NA,NA,NA,NA,1,NA,3
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",4,5,3,1,3,1,2,3,1,4,4,3,3,5,NA,NA,NA,NA,NA,NA,4,NA,4
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",9,2,4,3,4,1,2,3,3,1,2,NA,3,5,1,NA,NA,NA,NA,NA,2,4,2
"Administrativo/Tecnico","Facultad de Ingeniería Civil y Ambiental",6,3,4,1,5,2,1,4,2,3,1,5,5,2,1,NA,NA,NA,NA,NA,5,2,3
"Administrativo/Tecnico","Facultad de Ciencias",10,3,3,2,1,0,2,3,3,4,4,3,2,3,1,NA,NA,NA,NA,NA,2,5,1
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",9,NA,3,4,4,NA,2,2,4,4,2,2,5,5,1,NA,NA,NA,NA,NA,3,5,3
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",2,4,3,1,4,2,2,3,1,4,1,4,NA,4,1,NA,NA,NA,NA,NA,NA,3,1
"Administrativo/Tecnico","Facultad de Ciencias",3,NA,3,2,4,3,2,1,5,2,2,2,3,3,0,NA,NA,NA,NA,NA,3,4,1
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",10,3,3,5,5,0,1,3,1,1,2,4,5,4,1,NA,NA,NA,NA,NA,1,2,3
"Administrativo/Tecnico","Facultad de Ciencias",18,1,2,NA,5,3,3,1,1,2,3,2,3,5,NA,NA,NA,NA,NA,NA,3,2,3
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",15,NA,3,NA,4,0,2,1,3,2,4,5,3,3,NA,NA,NA,NA,NA,NA,2,3,4
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",4,NA,3,NA,3,2,1,5,4,2,1,3,3,2,1,NA,NA,NA,NA,NA,1,3,1
"Administrativo/Tecnico","Facultad de Ingeniería Civil y Ambiental",13,3,1,NA,5,0,1,3,5,2,3,1,4,1,1,NA,NA,NA,NA,NA,3,2,4
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",8,4,3,NA,5,0,2,2,3,4,1,NA,1,1,1,NA,NA,NA,NA,NA,2,4,4
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",10,NA,3,3,4,NA,1,3,1,2,3,4,3,5,1,NA,NA,NA,NA,NA,2,4,4
"Administrativo/Tecnico","Facultad de Ingeniería Mecánica",10,2,2,4,4,1,4,1,4,1,3,NA,2,3,NA,NA,NA,NA,NA,NA,2,4,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",23,2,2,4,3,3,4,3,4,2,3,1,1,5,0,NA,NA,NA,NA,NA,5,3,1
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",1,2,5,4,NA,3,1,3,3,3,1,3,2,3,0,NA,NA,NA,NA,NA,3,4,2
"Administrativo/Tecnico","Facultad de Ciencias",9,5,NA,3,4,1,4,4,5,3,3,4,4,2,1,NA,NA,NA,NA,NA,4,5,4
"Administrativo/Tecnico","Facultad de Ingeniería Mecánica",3,1,NA,3,4,2,3,3,4,1,1,2,2,2,NA,NA,NA,NA,NA,NA,3,1,3
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",12,5,5,NA,5,3,4,3,3,3,5,2,3,1,1,NA,NA,NA,NA,NA,2,3,4
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",15,2,1,1,2,3,NA,4,1,3,2,4,3,3,NA,NA,NA,NA,NA,NA,5,3,4
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",17,4,3,1,4,1,1,1,3,2,3,2,3,3,1,NA,NA,NA,NA,NA,2,NA,4
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",4,4,NA,3,4,NA,1,2,3,2,2,1,1,5,1,NA,NA,NA,NA,NA,4,2,4
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",10,3,3,5,NA,1,4,3,4,2,3,5,4,4,0,NA,NA,NA,NA,NA,3,3,3
"Administrativo/Tecnico","Facultad de Ciencias",18,4,5,5,2,1,3,3,3,1,1,3,NA,2,0,NA,NA,NA,NA,NA,1,5,1
"Administrativo/Tecnico","Facultad de Geología y Petróleos",6,4,2,2,1,0,1,5,2,1,2,4,4,3,0,NA,NA,NA,NA,NA,1,3,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",7,2,5,4,3,3,3,4,2,4,3,1,4,2,NA,NA,NA,NA,NA,NA,5,4,1
"Administrativo/Tecnico","Facultad de Ciencias",8,3,3,2,3,0,1,3,3,1,3,5,2,3,0,NA,NA,NA,NA,NA,5,4,4
"Administrativo/Tecnico","Facultad de Ingeniería Mecánica",10,1,5,2,4,3,4,3,3,1,4,3,3,2,0,NA,NA,NA,NA,NA,1,3,3
"Administrativo/Tecnico","Facultad de Ingeniería Civil y Ambiental",12,1,5,4,2,1,4,2,4,4,5,4,2,2,0,NA,NA,NA,NA,NA,3,1,2
"Administrativo/Tecnico","Facultad de Ciencias",16,NA,1,5,2,0,NA,1,4,3,2,2,1,3,1,NA,NA,NA,NA,NA,3,4,1
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",7,4,3,2,3,NA,3,3,4,1,4,3,1,5,0,NA,NA,NA,NA,NA,3,4,4
"Administrativo/Tecnico","Facultad de Ciencias",9,1,3,2,NA,1,1,2,3,3,5,2,5,3,0,NA,NA,NA,NA,NA,2,3,3
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",23,3,3,2,2,3,1,4,5,4,5,4,2,2,0,NA,NA,NA,NA,NA,1,4,1
"Administrativo/Tecnico","Facultad de Ingeniería Mecánica",11,2,2,2,4,2,4,2,1,3,2,5,5,3,1,NA,NA,NA,NA,NA,NA,4,1
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",9,2,3,2,4,0,1,2,3,3,3,3,3,3,0,NA,NA,NA,NA,NA,5,2,1
"Administrativo/Tecnico","Facultad de Ciencias",0,1,5,3,3,3,4,2,3,3,2,5,5,2,0,NA,NA,NA,NA,NA,3,3,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",8,4,3,3,4,3,3,4,5,2,2,3,2,2,1,NA,NA,NA,NA,NA,NA,3,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",7,3,5,4,3,3,3,1,3,2,2,3,4,5,NA,NA,NA,NA,NA,NA,3,NA,1
"Administrativo/Tecnico","Facultad de Ciencias",8,1,4,4,2,1,3,3,2,3,4,3,5,3,1,NA,NA,NA,NA,NA,4,4,3
"Administrativo/Tecnico","Facultad de Geología y Petróleos",5,NA,5,2,5,1,2,5,4,1,4,2,5,2,1,NA,NA,NA,NA,NA,3,2,3
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",4,1,1,1,3,1,NA,3,5,3,4,3,1,3,0,NA,NA,NA,NA,NA,4,5,1
"Administrativo/Tecnico","Facultad de Ciencias",4,5,4,3,1,1,2,4,2,4,4,5,4,5,1,NA,NA,NA,NA,NA,5,3,1
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",7,3,1,3,NA,1,NA,3,3,4,4,3,1,3,1,NA,NA,NA,NA,NA,5,3,1
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",16,3,2,3,2,3,4,5,5,2,3,2,1,2,1,NA,NA,NA,NA,NA,2,3,1
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",14,5,3,4,4,1,2,3,2,3,3,3,3,1,1,NA,NA,NA,NA,NA,2,3,2
"Administrativo/Tecnico","Facultad de Ingeniería Eléctrica y Electrónica",6,3,1,1,4,2,1,3,3,4,1,2,5,2,1,NA,NA,NA,NA,NA,5,3,1
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",2,3,3,3,1,NA,4,3,1,1,NA,5,5,2,1,NA,NA,NA,NA,NA,3,3,2
"Administrativo/Tecnico","Facultad de Ingeniería Química y Agroindustria",3,4,5,4,2,NA,3,1,2,2,3,1,5,4,0,NA,NA,NA,NA,NA,4,5,4
"Administrativo/Tecnico","Facultad de Ciencias Administrativas",5,5,3,2,5,0,4,1,1,1,NA,NA,2,NA,0,NA,NA,NA,NA,NA,4,4,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",9,1,4,4,2,0,4,4,4,4,2,1,NA,4,0,NA,NA,NA,NA,NA,4,2,3
"Administrativo/Tecnico","Facultad de Ciencias",4,3,5,2,NA,2,2,1,5,2,2,2,2,2,0,NA,NA,NA,NA,NA,3,2,4
"Administrativo/Tecnico","Facultad de Geología y Petróleos",20,3,3,1,2,2,2,3,4,3,2,4,2,NA,1,NA,NA,NA,NA,NA,2,2,1
"Administrativo/Tecnico","Facultad de Ciencias",6,NA,3,2,1,2,2,2,4,3,2,3,2,3,0,NA,NA,NA,NA,NA,1,NA,2
"Administrativo/Tecnico","Facultad de Ingeniería de Sistemas",1,2,2,1,5,0,4,3,3,1,4,5,5,2,0,NA,NA,NA,NA,NA,4,4,1
